Dir,Time_Arr,Time_Mov,Time_Out,TIQ,TIS
SOUTH,7488.802278,7564.757950,7605.252503,75.955673,116.450225
NORTH,7603.528659,7605.252503,7646.265107,1.723844,42.736448
SOUTH,7572.995685,7646.265107,7690.124478,73.269422,117.128792
SOUTH,7699.259164,7699.259164,7741.023133,0.000000,41.763970
NORTH,7703.568490,7741.023133,7785.268411,37.454643,81.699920
NORTH,7755.705314,7785.268411,7825.638142,29.563097,69.932828
NORTH,7790.385567,7825.638142,7865.905332,35.252575,75.519765
SOUTH,7899.106624,7899.106624,7939.182921,0.000000,40.076296
SOUTH,7932.001324,7939.182921,7984.008507,7.181596,52.007183
NORTH,7961.801908,7984.008507,8028.028711,22.206600,66.226803
NORTH,7967.281126,7986.937232,8030.957435,19.656105,63.676309
SOUTH,7970.943024,8030.957435,8071.556361,60.014410,100.613336
NORTH,8033.897382,8071.556361,8112.752228,37.658978,78.854846
NORTH,8048.182399,8074.549418,8115.745285,26.367018,67.562886
NORTH,8072.500725,8075.048456,8116.244324,2.547731,43.743599
SOUTH,8126.103361,8126.103361,8166.770038,0.000000,40.666677
NORTH,8141.491473,8166.770038,8207.191957,25.278565,65.700484
SOUTH,8136.421958,8207.191957,8248.618697,70.769999,112.196739
SOUTH,8183.431236,8210.238391,8251.665131,26.807155,68.233895
NORTH,8171.929665,8251.665131,8293.659210,79.735466,121.729545
NORTH,8176.718984,8254.291447,8296.285526,77.572463,119.566542
SOUTH,8255.006903,8296.285526,8336.495189,41.278624,81.488286
SOUTH,8324.765199,8336.495189,8381.379218,11.729990,56.614019
NORTH,8338.652144,8381.379218,8425.674546,42.727074,87.022402
NORTH,8362.160566,8383.927560,8428.222887,21.766994,66.062321
SOUTH,8394.182890,8428.222887,8471.175400,34.039997,76.992510
SOUTH,8421.005309,8431.274051,8474.226565,10.268742,53.221255
NORTH,8398.533159,8474.226565,8514.556775,75.693405,116.023615
NORTH,8402.676770,8476.822820,8517.153030,74.146050,114.476260
NORTH,8437.482363,8479.745562,8520.075773,42.263199,82.593409
NORTH,8447.673486,8482.358847,8522.689057,34.685361,75.015571
SOUTH,8596.966468,8596.966468,8641.563776,0.000000,44.597308
NORTH,8600.555461,8641.563776,8685.274369,41.008315,84.718908
SOUTH,8638.880537,8685.274369,8726.743988,46.393832,87.863451
SOUTH,8667.663726,8688.459784,8729.929403,20.796058,62.265677
NORTH,8661.502804,8729.929403,8774.900563,68.426599,113.397759
NORTH,8675.919981,8733.184217,8778.155377,57.264237,102.235397
SOUTH,8691.453456,8778.155377,8822.822420,86.701921,131.368964
NORTH,8755.084612,8822.822420,8864.565638,67.737808,109.481025
NORTH,8777.757603,8826.318789,8868.062006,48.561185,90.304403
NORTH,8795.517071,8829.274064,8871.017281,33.756993,75.500210
NORTH,8814.008880,8832.661481,8874.404698,18.652601,60.395818
NORTH,8819.367356,8835.780549,8877.523766,16.413193,58.156410
SOUTH,8888.321744,8888.321744,8932.518497,0.000000,44.196753
NORTH,8987.771838,8987.771838,9028.632765,0.000000,40.860927
NORTH,8988.714535,9028.632765,9072.277896,39.918230,83.563360
NORTH,9007.906994,9031.559871,9075.205002,23.652877,67.298008
NORTH,9030.047315,9031.755983,9075.401114,1.708668,45.353799
SOUTH,9110.289517,9110.289517,9151.082388,0.000000,40.792871
SOUTH,9111.709505,9151.082388,9192.063710,39.372883,80.354205
NORTH,9204.468436,9204.468436,9247.477561,0.000000,43.009125
SOUTH,9257.285369,9257.285369,9300.949879,0.000000,43.664510
NORTH,9287.286464,9300.949879,9341.468388,13.663415,54.181924
NORTH,9297.402806,9304.279402,9344.797912,6.876596,47.395106
SOUTH,9308.127454,9344.797912,9386.730649,36.670458,78.603195
NORTH,9304.315579,9386.730649,9430.469167,82.415070,126.153587
NORTH,9325.442202,9389.469151,9433.207669,64.026950,107.765467
NORTH,9340.908626,9392.539451,9436.277968,51.630824,95.369342
NORTH,9346.963233,9395.580056,9439.318573,48.616823,92.355340
NORTH,9363.754811,9398.066597,9441.805114,34.311786,78.050304
NORTH,9395.442642,9398.177410,9441.915927,2.734768,46.473285
SOUTH,9354.628457,9441.915927,9485.437763,87.287470,130.809306
NORTH,9474.406991,9485.437763,9526.764860,11.030771,52.357869
SOUTH,9495.223416,9526.764860,9571.392992,31.541444,76.169576
NORTH,9549.959220,9571.392992,9614.236707,21.433772,64.277487
SOUTH,9538.737982,9614.236707,9656.902651,75.498725,118.164669
SOUTH,9550.363440,9617.572853,9660.238798,67.209413,109.875358
SOUTH,9553.791463,9620.642451,9663.308395,66.850987,109.516932
NORTH,9606.676183,9663.308395,9703.459767,56.632212,96.783584
SOUTH,9647.852184,9703.459767,9747.000524,55.607583,99.148341
SOUTH,9665.717868,9706.083825,9749.624582,40.365956,83.906714
NORTH,9670.192539,9749.624582,9790.218777,79.432043,120.026238
SOUTH,9717.915669,9790.218777,9833.951039,72.303108,116.035369
SOUTH,9770.983440,9793.463673,9837.195934,22.480233,66.212494
NORTH,9845.166151,9845.166151,9886.225601,0.000000,41.059450
SOUTH,9866.375172,9886.225601,9927.798220,19.850429,61.423048
SOUTH,9870.970530,9889.007043,9930.579662,18.036513,59.609132
NORTH,9935.698377,9935.698377,9979.320009,0.000000,43.621632
